text,platform,timestamp,likes,impressions,comments,hour,day_of_week,text_length,sentiment,platform_LinkedIn,platform_Twitter
Why storytelling matters in product design 📚,Twitter,2023-10-02 22:15:00,35,735,3,22,0,44,0.0,False,True
Why storytelling matters in product design 📚,LinkedIn,2025-12-22 18:00:00,42,756,8,18,0,44,0.0,True,False
How to stay productive while working remotely 💻,LinkedIn,2025-05-22 14:45:00,10,110,0,14,3,47,-0.1,True,False
Why storytelling matters in product design 📚,LinkedIn,2025-10-26 22:00:00,17,391,0,22,6,44,0.0,True,False
Excited to announce our new product launch 🚀,LinkedIn,2025-02-24 15:00:00,39,507,2,15,0,44,0.2556818181818182,True,False
Our new office space is ready! Take a look 🏢,LinkedIn,2024-07-16 22:00:00,69,1449,8,22,1,44,0.19318181818181818,True,False
Reflecting on our startup journey so far ✨,Twitter,2024-02-19 19:30:00,37,777,5,19,0,42,0.1,False,True
Throwback to our team retreat last year 🌴,Twitter,2023-10-02 14:30:00,19,418,1,14,0,41,0.0,False,True
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2023-01-28 15:00:00,2,30,0,15,5,45,0.0,True,False
Our new office space is ready! Take a look 🏢,LinkedIn,2023-02-27 21:00:00,43,516,4,21,0,44,0.19318181818181818,True,False
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2025-11-07 15:30:00,46,782,6,15,4,44,0.3333333333333333,True,False
Excited to announce our new product launch 🚀,Twitter,2023-01-13 11:45:00,39,429,4,11,4,44,0.2556818181818182,False,True
How to stay productive while working remotely 💻,LinkedIn,2024-04-27 20:45:00,16,288,0,20,5,47,-0.1,True,False
5 tools every startup should be using today 🔧,Twitter,2024-06-24 21:30:00,47,564,4,21,0,45,0.0,False,True
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-04-25 17:30:00,47,1175,7,17,1,44,0.3333333333333333,True,False
Excited to announce our new product launch 🚀,LinkedIn,2024-08-18 09:00:00,44,572,6,9,6,44,0.2556818181818182,True,False
Our new office space is ready! Take a look 🏢,LinkedIn,2023-10-09 06:00:00,24,480,4,6,0,44,0.19318181818181818,True,False
Excited to announce our new product launch 🚀,LinkedIn,2024-12-23 09:15:00,50,700,4,9,0,44,0.2556818181818182,True,False
Throwback to our team retreat last year 🌴,LinkedIn,2024-01-01 22:45:00,30,570,5,22,0,41,0.0,True,False
Our new office space is ready! Take a look 🏢,LinkedIn,2025-06-20 06:15:00,40,1120,5,6,4,44,0.19318181818181818,True,False
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2025-07-04 06:30:00,53,954,7,6,4,44,0.3333333333333333,False,True
Excited to announce our new product launch 🚀,Twitter,2025-11-19 08:15:00,45,675,2,8,2,44,0.2556818181818182,False,True
"We just hit 10,000 followers, thank you all 🙌",Twitter,2025-01-26 12:15:00,25,525,1,12,6,45,0.0,False,True
Our new office space is ready! Take a look 🏢,LinkedIn,2025-04-15 19:30:00,29,348,3,19,1,44,0.19318181818181818,True,False
Excited to announce our new product launch 🚀,Twitter,2024-06-04 22:00:00,44,924,2,22,1,44,0.2556818181818182,False,True
5 tools every startup should be using today 🔧,LinkedIn,2023-04-05 17:00:00,42,1008,8,17,2,45,0.0,True,False
Join us for a live webinar on AI and the future 🧠,LinkedIn,2025-12-25 16:15:00,23,621,1,16,3,49,0.06818181818181818,True,False
5 tools every startup should be using today 🔧,Twitter,2025-11-01 16:30:00,30,900,4,16,5,45,0.0,False,True
How to stay productive while working remotely 💻,Twitter,2023-05-28 12:30:00,0,0,0,12,6,47,-0.1,False,True
How to stay productive while working remotely 💻,Twitter,2024-10-22 19:15:00,10,150,1,19,1,47,-0.1,False,True
How to stay productive while working remotely 💻,Twitter,2025-09-23 17:45:00,36,396,3,17,1,47,-0.1,False,True
Excited to announce our new product launch 🚀,Twitter,2025-12-24 06:30:00,29,319,3,6,2,44,0.2556818181818182,False,True
Reflecting on our startup journey so far ✨,Twitter,2023-08-13 13:00:00,13,312,1,13,6,42,0.1,False,True
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2025-11-05 22:45:00,13,143,1,22,2,45,0.0,True,False
How to stay productive while working remotely 💻,LinkedIn,2025-06-23 17:00:00,38,760,6,17,0,47,-0.1,True,False
How to stay productive while working remotely 💻,Twitter,2025-07-08 14:45:00,2,58,0,14,1,47,-0.1,False,True
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-05-13 16:00:00,82,1148,6,16,5,44,0.3333333333333333,True,False
How to stay productive while working remotely 💻,Twitter,2024-06-11 16:00:00,32,768,2,16,1,47,-0.1,False,True
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2023-04-15 18:00:00,7,182,0,18,5,45,0.0,True,False
Why storytelling matters in product design 📚,LinkedIn,2024-12-19 12:00:00,46,736,8,12,3,44,0.0,True,False
Reflecting on our startup journey so far ✨,Twitter,2024-12-07 19:30:00,28,616,1,19,5,42,0.1,False,True
Throwback to our team retreat last year 🌴,LinkedIn,2025-08-10 07:15:00,32,448,1,7,6,41,0.0,True,False
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2023-04-08 19:30:00,36,612,6,19,5,45,0.0,True,False
Why storytelling matters in product design 📚,Twitter,2025-09-09 21:45:00,27,648,5,21,1,44,0.0,False,True
Throwback to our team retreat last year 🌴,LinkedIn,2025-05-22 15:00:00,50,550,5,15,3,41,0.0,True,False
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2025-10-03 17:45:00,74,888,4,17,4,44,0.3333333333333333,True,False
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2024-11-02 14:45:00,74,1332,11,14,5,44,0.3333333333333333,False,True
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2023-03-21 21:30:00,38,608,5,21,1,44,0.3333333333333333,False,True
Join us for a live webinar on AI and the future 🧠,LinkedIn,2024-07-24 10:15:00,19,551,3,10,2,49,0.06818181818181818,True,False
How to stay productive while working remotely 💻,Twitter,2025-09-12 18:15:00,40,760,3,18,4,47,-0.1,False,True
Our new office space is ready! Take a look 🏢,LinkedIn,2025-03-16 08:15:00,69,828,13,8,6,44,0.19318181818181818,True,False
"We just hit 10,000 followers, thank you all 🙌",Twitter,2024-12-20 12:45:00,24,696,2,12,4,45,0.0,False,True
Join us for a live webinar on AI and the future 🧠,Twitter,2024-04-15 12:45:00,27,702,5,12,0,49,0.06818181818181818,False,True
Join us for a live webinar on AI and the future 🧠,LinkedIn,2023-09-04 19:45:00,50,900,9,19,0,49,0.06818181818181818,True,False
Throwback to our team retreat last year 🌴,LinkedIn,2024-11-09 08:45:00,37,999,2,8,5,41,0.0,True,False
"We just hit 10,000 followers, thank you all 🙌",Twitter,2025-10-26 08:45:00,44,528,5,8,6,45,0.0,False,True
Join us for a live webinar on AI and the future 🧠,Twitter,2023-07-05 13:00:00,40,400,6,13,2,49,0.06818181818181818,False,True
Why storytelling matters in product design 📚,Twitter,2025-11-08 18:15:00,24,312,4,18,5,44,0.0,False,True
Our new office space is ready! Take a look 🏢,LinkedIn,2025-05-28 13:15:00,57,1083,5,13,2,44,0.19318181818181818,True,False
How to stay productive while working remotely 💻,LinkedIn,2025-05-25 13:00:00,37,370,6,13,6,47,-0.1,True,False
5 tools every startup should be using today 🔧,Twitter,2024-05-28 19:00:00,10,230,0,19,1,45,0.0,False,True
Our new office space is ready! Take a look 🏢,Twitter,2024-03-08 08:00:00,44,1188,6,8,4,44,0.19318181818181818,False,True
Join us for a live webinar on AI and the future 🧠,Twitter,2024-09-04 07:00:00,41,779,5,7,2,49,0.06818181818181818,False,True
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2024-07-07 21:45:00,79,1975,10,21,6,44,0.3333333333333333,True,False
Why storytelling matters in product design 📚,LinkedIn,2024-04-11 19:00:00,50,1450,8,19,3,44,0.0,True,False
Reflecting on our startup journey so far ✨,LinkedIn,2024-09-09 09:45:00,33,693,2,9,0,42,0.1,True,False
Why storytelling matters in product design 📚,Twitter,2024-09-03 19:15:00,38,570,2,19,1,44,0.0,False,True
Reflecting on our startup journey so far ✨,LinkedIn,2023-07-01 12:00:00,18,252,1,12,5,42,0.1,True,False
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2025-02-25 13:45:00,8,224,0,13,1,45,0.0,True,False
How to stay productive while working remotely 💻,Twitter,2024-06-21 14:00:00,26,650,1,14,4,47,-0.1,False,True
Our new office space is ready! Take a look 🏢,LinkedIn,2024-06-02 20:45:00,22,220,2,20,6,44,0.19318181818181818,True,False
Join us for a live webinar on AI and the future 🧠,Twitter,2023-04-22 13:45:00,40,960,2,13,5,49,0.06818181818181818,False,True
Why storytelling matters in product design 📚,LinkedIn,2025-10-25 16:00:00,30,660,2,16,5,44,0.0,True,False
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2025-10-12 21:15:00,35,455,4,21,6,45,0.0,True,False
Join us for a live webinar on AI and the future 🧠,LinkedIn,2023-05-15 19:15:00,24,408,2,19,0,49,0.06818181818181818,True,False
5 tools every startup should be using today 🔧,Twitter,2023-02-13 08:45:00,4,48,0,8,0,45,0.0,False,True
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2025-04-16 16:45:00,33,363,5,16,2,44,0.3333333333333333,False,True
Throwback to our team retreat last year 🌴,LinkedIn,2024-05-03 06:00:00,23,253,4,6,4,41,0.0,True,False
5 tools every startup should be using today 🔧,Twitter,2025-09-20 10:15:00,44,1320,8,10,5,45,0.0,False,True
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2025-03-11 19:00:00,6,162,1,19,1,45,0.0,True,False
5 tools every startup should be using today 🔧,Twitter,2024-05-17 11:15:00,15,405,1,11,4,45,0.0,False,True
Reflecting on our startup journey so far ✨,Twitter,2024-07-28 09:30:00,38,836,4,9,6,42,0.1,False,True
Reflecting on our startup journey so far ✨,LinkedIn,2024-10-27 10:30:00,48,1440,6,10,6,42,0.1,True,False
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2024-04-15 10:15:00,37,703,3,10,0,44,0.3333333333333333,False,True
Reflecting on our startup journey so far ✨,LinkedIn,2025-11-16 21:45:00,37,1073,2,21,6,42,0.1,True,False
Reflecting on our startup journey so far ✨,LinkedIn,2024-05-02 11:45:00,36,972,2,11,3,42,0.1,True,False
Reflecting on our startup journey so far ✨,Twitter,2024-02-17 18:45:00,44,1320,7,18,5,42,0.1,False,True
Reflecting on our startup journey so far ✨,LinkedIn,2023-10-27 21:30:00,51,816,7,21,4,42,0.1,True,False
How to stay productive while working remotely 💻,Twitter,2023-04-11 07:00:00,35,490,1,7,1,47,-0.1,False,True
Reflecting on our startup journey so far ✨,Twitter,2024-08-14 21:30:00,10,240,0,21,2,42,0.1,False,True
Reflecting on our startup journey so far ✨,LinkedIn,2023-11-02 06:45:00,43,731,5,6,3,42,0.1,True,False
Reflecting on our startup journey so far ✨,Twitter,2025-04-08 11:30:00,51,714,6,11,1,42,0.1,False,True
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2024-05-11 16:00:00,7,84,0,16,5,45,0.0,True,False
Why storytelling matters in product design 📚,LinkedIn,2025-06-20 20:30:00,31,372,2,20,4,44,0.0,True,False
Our new office space is ready! Take a look 🏢,Twitter,2023-03-09 14:30:00,43,430,5,14,3,44,0.19318181818181818,False,True
Our new office space is ready! Take a look 🏢,LinkedIn,2024-03-03 14:45:00,21,588,2,14,6,44,0.19318181818181818,True,False
5 tools every startup should be using today 🔧,Twitter,2024-02-03 10:15:00,18,252,2,10,5,45,0.0,False,True
How to stay productive while working remotely 💻,Twitter,2024-09-13 20:30:00,40,1200,7,20,4,47,-0.1,False,True
Join us for a live webinar on AI and the future 🧠,Twitter,2023-06-18 07:00:00,21,252,1,7,6,49,0.06818181818181818,False,True
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-09-08 15:00:00,75,1350,7,15,4,44,0.3333333333333333,True,False
Excited to announce our new product launch 🚀,LinkedIn,2025-08-13 13:15:00,70,1680,5,13,2,44,0.2556818181818182,True,False
5 tools every startup should be using today 🔧,Twitter,2024-06-15 21:45:00,48,1248,7,21,5,45,0.0,False,True
Reflecting on our startup journey so far ✨,LinkedIn,2024-11-22 21:15:00,11,176,1,21,4,42,0.1,True,False
Our new office space is ready! Take a look 🏢,Twitter,2025-09-20 19:45:00,48,1152,6,19,5,44,0.19318181818181818,False,True
Join us for a live webinar on AI and the future 🧠,Twitter,2023-03-12 19:00:00,22,308,4,19,6,49,0.06818181818181818,False,True
Join us for a live webinar on AI and the future 🧠,Twitter,2023-08-11 13:45:00,39,390,5,13,4,49,0.06818181818181818,False,True
Throwback to our team retreat last year 🌴,Twitter,2023-07-11 13:15:00,5,50,0,13,1,41,0.0,False,True
5 tools every startup should be using today 🔧,Twitter,2024-04-20 08:45:00,12,180,1,8,5,45,0.0,False,True
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-04-23 18:00:00,74,888,5,18,6,44,0.3333333333333333,True,False
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2023-09-12 11:00:00,22,242,1,11,1,45,0.0,True,False
Excited to announce our new product launch 🚀,LinkedIn,2024-02-11 08:30:00,50,1500,3,8,6,44,0.2556818181818182,True,False
5 tools every startup should be using today 🔧,Twitter,2023-08-16 11:15:00,50,1000,6,11,2,45,0.0,False,True
5 tools every startup should be using today 🔧,Twitter,2023-10-07 14:30:00,19,475,3,14,5,45,0.0,False,True
Join us for a live webinar on AI and the future 🧠,LinkedIn,2024-01-09 18:15:00,39,468,3,18,1,49,0.06818181818181818,True,False
Join us for a live webinar on AI and the future 🧠,LinkedIn,2024-09-13 12:30:00,49,833,6,12,4,49,0.06818181818181818,True,False
Why storytelling matters in product design 📚,Twitter,2025-01-26 21:30:00,8,112,1,21,6,44,0.0,False,True
"We just hit 10,000 followers, thank you all 🙌",Twitter,2023-02-15 14:45:00,5,55,0,14,2,45,0.0,False,True
Our new office space is ready! Take a look 🏢,LinkedIn,2025-12-07 22:15:00,71,1491,7,22,6,44,0.19318181818181818,True,False
Excited to announce our new product launch 🚀,LinkedIn,2024-07-04 20:30:00,71,2130,7,20,3,44,0.2556818181818182,True,False
Our new office space is ready! Take a look 🏢,LinkedIn,2025-05-26 22:00:00,37,999,4,22,0,44,0.19318181818181818,True,False
Excited to announce our new product launch 🚀,LinkedIn,2024-04-13 09:30:00,69,1863,13,9,5,44,0.2556818181818182,True,False
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-08-23 13:15:00,77,770,12,13,2,44,0.3333333333333333,True,False
Why storytelling matters in product design 📚,LinkedIn,2024-05-28 06:30:00,35,560,6,6,1,44,0.0,True,False
5 tools every startup should be using today 🔧,LinkedIn,2024-09-21 09:00:00,25,475,2,9,5,45,0.0,True,False
Excited to announce our new product launch 🚀,Twitter,2025-07-13 11:45:00,52,624,9,11,6,44,0.2556818181818182,False,True
Why storytelling matters in product design 📚,Twitter,2023-01-10 19:30:00,5,100,0,19,1,44,0.0,False,True
Throwback to our team retreat last year 🌴,Twitter,2025-06-18 11:15:00,30,870,5,11,2,41,0.0,False,True
Reflecting on our startup journey so far ✨,Twitter,2023-10-25 16:30:00,46,828,6,16,2,42,0.1,False,True
Our new office space is ready! Take a look 🏢,Twitter,2023-12-20 14:00:00,53,636,4,14,2,44,0.19318181818181818,False,True
Our new office space is ready! Take a look 🏢,LinkedIn,2023-02-06 15:30:00,35,1015,5,15,0,44,0.19318181818181818,True,False
Join us for a live webinar on AI and the future 🧠,LinkedIn,2024-09-11 15:15:00,18,450,1,15,2,49,0.06818181818181818,True,False
Our new office space is ready! Take a look 🏢,LinkedIn,2024-10-10 10:30:00,49,980,6,10,3,44,0.19318181818181818,True,False
Join us for a live webinar on AI and the future 🧠,Twitter,2024-04-21 14:30:00,17,442,2,14,6,49,0.06818181818181818,False,True
Why storytelling matters in product design 📚,Twitter,2024-06-24 08:45:00,46,598,3,8,0,44,0.0,False,True
Join us for a live webinar on AI and the future 🧠,LinkedIn,2024-03-23 15:45:00,27,378,4,15,5,49,0.06818181818181818,True,False
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2024-08-04 09:30:00,11,319,1,9,6,45,0.0,True,False
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-04-12 16:00:00,72,1656,14,16,2,44,0.3333333333333333,True,False
5 tools every startup should be using today 🔧,Twitter,2025-08-21 06:00:00,9,261,1,6,3,45,0.0,False,True
How to stay productive while working remotely 💻,Twitter,2024-12-20 07:30:00,3,42,0,7,4,47,-0.1,False,True
How to stay productive while working remotely 💻,Twitter,2024-12-06 16:30:00,2,44,0,16,4,47,-0.1,False,True
"We just hit 10,000 followers, thank you all 🙌",Twitter,2023-12-21 20:00:00,33,594,4,20,3,45,0.0,False,True
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-01-11 11:15:00,41,574,2,11,2,44,0.3333333333333333,True,False
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-07-18 13:30:00,75,2250,6,13,1,44,0.3333333333333333,True,False
5 tools every startup should be using today 🔧,LinkedIn,2023-11-16 13:30:00,45,810,2,13,3,45,0.0,True,False
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2024-01-06 15:00:00,9,90,0,15,5,45,0.0,True,False
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2023-09-22 08:45:00,61,854,5,8,4,44,0.3333333333333333,False,True
Our new office space is ready! Take a look 🏢,Twitter,2023-08-07 13:30:00,45,900,5,13,0,44,0.19318181818181818,False,True
Excited to announce our new product launch 🚀,LinkedIn,2023-11-10 18:45:00,38,1102,2,18,4,44,0.2556818181818182,True,False
5 tools every startup should be using today 🔧,LinkedIn,2023-08-14 21:00:00,34,748,6,21,0,45,0.0,True,False
Join us for a live webinar on AI and the future 🧠,LinkedIn,2024-10-12 20:45:00,45,855,6,20,5,49,0.06818181818181818,True,False
Reflecting on our startup journey so far ✨,LinkedIn,2023-03-11 14:00:00,26,676,3,14,5,42,0.1,True,False
5 tools every startup should be using today 🔧,Twitter,2025-10-16 19:00:00,34,884,2,19,3,45,0.0,False,True
Join us for a live webinar on AI and the future 🧠,LinkedIn,2023-05-01 21:30:00,32,576,4,21,0,49,0.06818181818181818,True,False
Our new office space is ready! Take a look 🏢,LinkedIn,2025-08-10 06:45:00,37,444,5,6,6,44,0.19318181818181818,True,False
Join us for a live webinar on AI and the future 🧠,LinkedIn,2024-04-07 14:00:00,50,850,7,14,6,49,0.06818181818181818,True,False
Throwback to our team retreat last year 🌴,LinkedIn,2024-08-19 12:00:00,36,540,4,12,0,41,0.0,True,False
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2025-02-12 13:45:00,45,1170,7,13,2,44,0.3333333333333333,False,True
Our new office space is ready! Take a look 🏢,LinkedIn,2023-10-23 22:00:00,35,595,3,22,0,44,0.19318181818181818,True,False
5 tools every startup should be using today 🔧,Twitter,2024-03-05 17:30:00,20,280,1,17,1,45,0.0,False,True
How to stay productive while working remotely 💻,LinkedIn,2024-02-03 07:15:00,2,22,0,7,5,47,-0.1,True,False
Excited to announce our new product launch 🚀,Twitter,2024-04-12 06:45:00,67,670,6,6,4,44,0.2556818181818182,False,True
Join us for a live webinar on AI and the future 🧠,Twitter,2025-04-03 07:15:00,18,234,1,7,3,49,0.06818181818181818,False,True
Reflecting on our startup journey so far ✨,Twitter,2024-02-03 17:15:00,31,713,4,17,5,42,0.1,False,True
Reflecting on our startup journey so far ✨,LinkedIn,2024-01-10 15:15:00,28,728,3,15,2,42,0.1,True,False
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-09-19 20:45:00,70,1190,9,20,1,44,0.3333333333333333,True,False
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-05-05 13:30:00,66,924,9,13,4,44,0.3333333333333333,True,False
Why storytelling matters in product design 📚,Twitter,2023-05-25 16:15:00,47,799,4,16,3,44,0.0,False,True
How to stay productive while working remotely 💻,LinkedIn,2023-09-28 18:30:00,33,759,4,18,3,47,-0.1,True,False
How to stay productive while working remotely 💻,LinkedIn,2024-05-22 19:00:00,32,640,4,19,2,47,-0.1,True,False
Our new office space is ready! Take a look 🏢,Twitter,2023-08-18 15:30:00,35,595,4,15,4,44,0.19318181818181818,False,True
Our new office space is ready! Take a look 🏢,LinkedIn,2023-12-08 19:45:00,60,1200,4,19,4,44,0.19318181818181818,True,False
Excited to announce our new product launch 🚀,Twitter,2024-01-09 18:30:00,32,384,1,18,1,44,0.2556818181818182,False,True
How to stay productive while working remotely 💻,LinkedIn,2025-04-11 12:15:00,28,392,2,12,4,47,-0.1,True,False
Excited to announce our new product launch 🚀,Twitter,2023-08-05 11:45:00,37,629,3,11,5,44,0.2556818181818182,False,True
Throwback to our team retreat last year 🌴,LinkedIn,2023-04-09 10:15:00,42,714,5,10,6,41,0.0,True,False
5 tools every startup should be using today 🔧,LinkedIn,2023-11-14 11:30:00,45,1260,4,11,1,45,0.0,True,False
