text,platform,timestamp,likes,impressions,comments
Why storytelling matters in product design 📚,Twitter,2023-10-02 22:15:00,35,735,3
Why storytelling matters in product design 📚,LinkedIn,2025-12-22 18:00:00,42,756,8
How to stay productive while working remotely 💻,LinkedIn,2025-05-22 14:45:00,10,110,0
Why storytelling matters in product design 📚,LinkedIn,2025-10-26 22:00:00,17,391,0
Excited to announce our new product launch 🚀,LinkedIn,2025-02-24 15:00:00,39,507,2
Our new office space is ready! Take a look 🏢,LinkedIn,2024-07-16 22:00:00,69,1449,8
Reflecting on our startup journey so far ✨,Twitter,2024-02-19 19:30:00,37,777,5
Throwback to our team retreat last year 🌴,Twitter,2023-10-02 14:30:00,19,418,1
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2023-01-28 15:00:00,2,30,0
Our new office space is ready! Take a look 🏢,LinkedIn,2023-02-27 21:00:00,43,516,4
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2025-11-07 15:30:00,46,782,6
Excited to announce our new product launch 🚀,Twitter,2023-01-13 11:45:00,39,429,4
How to stay productive while working remotely 💻,LinkedIn,2024-04-27 20:45:00,16,288,0
5 tools every startup should be using today 🔧,Twitter,2024-06-24 21:30:00,47,564,4
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-04-25 17:30:00,47,1175,7
Excited to announce our new product launch 🚀,LinkedIn,2024-08-18 09:00:00,44,572,6
Our new office space is ready! Take a look 🏢,LinkedIn,2023-10-09 06:00:00,24,480,4
Excited to announce our new product launch 🚀,LinkedIn,2024-12-23 09:15:00,50,700,4
Throwback to our team retreat last year 🌴,LinkedIn,2024-01-01 22:45:00,30,570,5
Our new office space is ready! Take a look 🏢,LinkedIn,2025-06-20 06:15:00,40,1120,5
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2025-07-04 06:30:00,53,954,7
Excited to announce our new product launch 🚀,Twitter,2025-11-19 08:15:00,45,675,2
"We just hit 10,000 followers, thank you all 🙌",Twitter,2025-01-26 12:15:00,25,525,1
Our new office space is ready! Take a look 🏢,LinkedIn,2025-04-15 19:30:00,29,348,3
Excited to announce our new product launch 🚀,Twitter,2024-06-04 22:00:00,44,924,2
5 tools every startup should be using today 🔧,LinkedIn,2023-04-05 17:00:00,42,1008,8
Join us for a live webinar on AI and the future 🧠,LinkedIn,2025-12-25 16:15:00,23,621,1
5 tools every startup should be using today 🔧,Twitter,2025-11-01 16:30:00,30,900,4
How to stay productive while working remotely 💻,Twitter,2023-05-28 12:30:00,0,0,0
How to stay productive while working remotely 💻,Twitter,2024-10-22 19:15:00,10,150,1
How to stay productive while working remotely 💻,Twitter,2025-09-23 17:45:00,36,396,3
Excited to announce our new product launch 🚀,Twitter,2025-12-24 06:30:00,29,319,3
Reflecting on our startup journey so far ✨,Twitter,2023-08-13 13:00:00,13,312,1
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2025-11-05 22:45:00,13,143,1
How to stay productive while working remotely 💻,LinkedIn,2025-06-23 17:00:00,38,760,6
How to stay productive while working remotely 💻,Twitter,2025-07-08 14:45:00,2,58,0
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2023-05-13 16:00:00,82,1148,6
How to stay productive while working remotely 💻,Twitter,2024-06-11 16:00:00,32,768,2
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2023-04-15 18:00:00,7,182,0
Why storytelling matters in product design 📚,LinkedIn,2024-12-19 12:00:00,46,736,8
Reflecting on our startup journey so far ✨,Twitter,2024-12-07 19:30:00,28,616,1
Throwback to our team retreat last year 🌴,LinkedIn,2025-08-10 07:15:00,32,448,1
"We just hit 10,000 followers, thank you all 🙌",LinkedIn,2023-04-08 19:30:00,36,612,6
Why storytelling matters in product design 📚,Twitter,2025-09-09 21:45:00,27,648,5
Throwback to our team retreat last year 🌴,LinkedIn,2025-05-22 15:00:00,50,550,5
Here’s a quick tip for growing on LinkedIn 📈,LinkedIn,2025-10-03 17:45:00,74,888,4
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2024-11-02 14:45:00,74,1332,11
Here’s a quick tip for growing on LinkedIn 📈,Twitter,2023-03-21 21:30:00,38,608,5
Join us for a live webinar on AI and the future 🧠,LinkedIn,2024-07-24 10:15:00,19,551,3
How to stay productive while working remotely 💻,Twitter,2025-09-12 18:15:00,40,760,3
Our new office space is ready! Take a look 🏢,LinkedIn,2025-03-16 08:15:00,69,828,13
"We just hit 10,000 followers, thank you all 🙌",Twitter,2024-12-20 12:45:00,24,696,2
